"Local","Latit","Longit","Ano","Solo","Cultivar","Bloco","kgha","Tecnologia","GM","Plantio","Ciclo","Textura_do_solo","Latitude","Longitude","Colheita","Cycle3","Cycle4","ID","Temp","Caracteristica","Clima","ALLSKY_SFC_LW_DWN_mean_0.45","ALLSKY_SFC_LW_DWN_mean_45.70","ALLSKY_SFC_LW_DWN_mean_70.","ALLSKY_SFC_SW_DWN_mean_0.45","ALLSKY_SFC_SW_DWN_mean_45.70","ALLSKY_SFC_SW_DWN_mean_70.","ETP_mean_0.45","ETP_mean_45.70","ETP_mean_70.","FRUE_mean_0.45","FRUE_mean_45.70","FRUE_mean_70.","GDD_mean_0.45","GDD_mean_45.70","GDD_mean_70.","PETP_mean_0.45","PETP_mean_45.70","PETP_mean_70.","RH2M_mean_0.45","RH2M_mean_45.70","RH2M_mean_70.","RTA_mean_0.45","RTA_mean_45.70","RTA_mean_70.","SPV_mean_0.45","SPV_mean_45.70","SPV_mean_70.","T2M_MAX_mean_0.45","T2M_MAX_mean_45.70","T2M_MAX_mean_70.","T2M_mean_0.45","T2M_mean_45.70","T2M_mean_70.","T2M_MIN_mean_0.45","T2M_MIN_mean_45.70","T2M_MIN_mean_70.","T2M_RANGE_mean_0.45","T2M_RANGE_mean_45.70","T2M_RANGE_mean_70.","T2MDEW_mean_0.45","T2MDEW_mean_45.70","T2MDEW_mean_70.","VPD_mean_0.45","VPD_mean_45.70","VPD_mean_70.","WS2M_mean_0.45","WS2M_mean_45.70","WS2M_mean_70.","ALLSKY_SFC_LW_DWN_sum_0.45","ALLSKY_SFC_LW_DWN_sum_45.70","ALLSKY_SFC_LW_DWN_sum_70.","PRECTOT_sum_0.45","PRECTOT_sum_45.70","PRECTOT_sum_70."
"Paraiso do Tocantins","10°11' 16.9'' S","48°40' 54.6'' W",2023,"Latossolo","AS3700",1,3926.16352201258,"XTD",7,2022-11-17,100,"Media/argilosa",-10.1880277777778,-48.6818333333333,2023-02-25,"Precoce","Super Precoce",48,-1,"LaNina","ModerateLaNina",420.352136363636,411.0554,408.9544375,17.3014545454545,18.5654,20.7606875,7.93534032377892,8.50631258696029,9.54971224580763,0.647996753246753,0.639723809523809,0.67615625,10.9600909090909,10.899,11.19146875,1.51734149440289,-1.14631258696029,-3.54302474580763,82.5605454545455,82.561,80.8019375,39.4110819844982,39.553520291515,39.3889144221752,0.195827293975662,0.194041529930625,0.201848027436751,29.2566818181818,29.0314,29.967875,25.3182727272727,25.3046,25.981,21.9191818181818,21.797,22.3906875,7.3385,7.2354,7.5781875,21.9019090909091,21.9538,22.236,0.729156059246686,0.682431242416337,0.795798663300511,1.45986363636364,1.171,1.2481875,18495.451,10276.361,13086.511,415.831,183.951,192.151
"Paraiso do Tocantins","10°11' 16.9'' S","48°40' 54.6'' W",2023,"Latossolo","AS3700",2,4347.82236673227,"XTD",7,2022-11-17,100,"Media/argilosa",-10.1880277777778,-48.6818333333333,2023-02-25,"Precoce","Super Precoce",48,-1,"LaNina","ModerateLaNina",420.352136363636,411.0554,408.9544375,17.3014545454545,18.5654,20.7606875,7.93534032377892,8.50631258696029,9.54971224580763,0.647996753246753,0.639723809523809,0.67615625,10.9600909090909,10.899,11.19146875,1.51734149440289,-1.14631258696029,-3.54302474580763,82.5605454545455,82.561,80.8019375,39.4110819844982,39.553520291515,39.3889144221752,0.195827293975662,0.194041529930625,0.201848027436751,29.2566818181818,29.0314,29.967875,25.3182727272727,25.3046,25.981,21.9191818181818,21.797,22.3906875,7.3385,7.2354,7.5781875,21.9019090909091,21.9538,22.236,0.729156059246686,0.682431242416337,0.795798663300511,1.45986363636364,1.171,1.2481875,18495.451,10276.361,13086.511,415.831,183.951,192.151
"Paraiso do Tocantins","10°11' 16.9'' S","48°40' 54.6'' W",2023,"Latossolo","AS3700",3,4383.46886258363,"XTD",7,2022-11-17,100,"Media/argilosa",-10.1880277777778,-48.6818333333333,2023-02-25,"Precoce","Super Precoce",48,-1,"LaNina","ModerateLaNina",420.352136363636,411.0554,408.9544375,17.3014545454545,18.5654,20.7606875,7.93534032377892,8.50631258696029,9.54971224580763,0.647996753246753,0.639723809523809,0.67615625,10.9600909090909,10.899,11.19146875,1.51734149440289,-1.14631258696029,-3.54302474580763,82.5605454545455,82.561,80.8019375,39.4110819844982,39.553520291515,39.3889144221752,0.195827293975662,0.194041529930625,0.201848027436751,29.2566818181818,29.0314,29.967875,25.3182727272727,25.3046,25.981,21.9191818181818,21.797,22.3906875,7.3385,7.2354,7.5781875,21.9019090909091,21.9538,22.236,0.729156059246686,0.682431242416337,0.795798663300511,1.45986363636364,1.171,1.2481875,18495.451,10276.361,13086.511,415.831,183.951,192.151
"Paraiso do Tocantins","10°11' 16.9'' S","48°40' 54.6'' W",2023,"Latossolo","AS3700",4,4386.82984646765,"XTD",7,2022-11-17,100,"Media/argilosa",-10.1880277777778,-48.6818333333333,2023-02-25,"Precoce","Super Precoce",48,-1,"LaNina","ModerateLaNina",420.352136363636,411.0554,408.9544375,17.3014545454545,18.5654,20.7606875,7.93534032377892,8.50631258696029,9.54971224580763,0.647996753246753,0.639723809523809,0.67615625,10.9600909090909,10.899,11.19146875,1.51734149440289,-1.14631258696029,-3.54302474580763,82.5605454545455,82.561,80.8019375,39.4110819844982,39.553520291515,39.3889144221752,0.195827293975662,0.194041529930625,0.201848027436751,29.2566818181818,29.0314,29.967875,25.3182727272727,25.3046,25.981,21.9191818181818,21.797,22.3906875,7.3385,7.2354,7.5781875,21.9019090909091,21.9538,22.236,0.729156059246686,0.682431242416337,0.795798663300511,1.45986363636364,1.171,1.2481875,18495.451,10276.361,13086.511,415.831,183.951,192.151
"Paraiso do Tocantins","10°11' 16.9'' S","48°40' 54.6'' W",2023,"Latossolo","AS3707",1,3559.37426408747,"I2X",7,2022-11-17,100,"Media/argilosa",-10.1880277777778,-48.6818333333333,2023-02-25,"Precoce","Super Precoce",48,-1,"LaNina","ModerateLaNina",420.352136363636,411.0554,408.9544375,17.3014545454545,18.5654,20.7606875,7.93534032377892,8.50631258696029,9.54971224580763,0.647996753246753,0.639723809523809,0.67615625,10.9600909090909,10.899,11.19146875,1.51734149440289,-1.14631258696029,-3.54302474580763,82.5605454545455,82.561,80.8019375,39.4110819844982,39.553520291515,39.3889144221752,0.195827293975662,0.194041529930625,0.201848027436751,29.2566818181818,29.0314,29.967875,25.3182727272727,25.3046,25.981,21.9191818181818,21.797,22.3906875,7.3385,7.2354,7.5781875,21.9019090909091,21.9538,22.236,0.729156059246686,0.682431242416337,0.795798663300511,1.45986363636364,1.171,1.2481875,18495.451,10276.361,13086.511,415.831,183.951,192.151
"Paraiso do Tocantins","10°11' 16.9'' S","48°40' 54.6'' W",2023,"Latossolo","AS3707",2,4280.91128794577,"I2X",7,2022-11-17,100,"Media/argilosa",-10.1880277777778,-48.6818333333333,2023-02-25,"Precoce","Super Precoce",48,-1,"LaNina","ModerateLaNina",420.352136363636,411.0554,408.9544375,17.3014545454545,18.5654,20.7606875,7.93534032377892,8.50631258696029,9.54971224580763,0.647996753246753,0.639723809523809,0.67615625,10.9600909090909,10.899,11.19146875,1.51734149440289,-1.14631258696029,-3.54302474580763,82.5605454545455,82.561,80.8019375,39.4110819844982,39.553520291515,39.3889144221752,0.195827293975662,0.194041529930625,0.201848027436751,29.2566818181818,29.0314,29.967875,25.3182727272727,25.3046,25.981,21.9191818181818,21.797,22.3906875,7.3385,7.2354,7.5781875,21.9019090909091,21.9538,22.236,0.729156059246686,0.682431242416337,0.795798663300511,1.45986363636364,1.171,1.2481875,18495.451,10276.361,13086.511,415.831,183.951,192.151
"Paraiso do Tocantins","10°11' 16.9'' S","48°40' 54.6'' W",2023,"Latossolo","AS3707",3,3865.84588773574,"I2X",7,2022-11-17,100,"Media/argilosa",-10.1880277777778,-48.6818333333333,2023-02-25,"Precoce","Super Precoce",48,-1,"LaNina","ModerateLaNina",420.352136363636,411.0554,408.9544375,17.3014545454545,18.5654,20.7606875,7.93534032377892,8.50631258696029,9.54971224580763,0.647996753246753,0.639723809523809,0.67615625,10.9600909090909,10.899,11.19146875,1.51734149440289,-1.14631258696029,-3.54302474580763,82.5605454545455,82.561,80.8019375,39.4110819844982,39.553520291515,39.3889144221752,0.195827293975662,0.194041529930625,0.201848027436751,29.2566818181818,29.0314,29.967875,25.3182727272727,25.3046,25.981,21.9191818181818,21.797,22.3906875,7.3385,7.2354,7.5781875,21.9019090909091,21.9538,22.236,0.729156059246686,0.682431242416337,0.795798663300511,1.45986363636364,1.171,1.2481875,18495.451,10276.361,13086.511,415.831,183.951,192.151
"Paraiso do Tocantins","10°11' 16.9'' S","48°40' 54.6'' W",2023,"Latossolo","AS3707",4,3791.77470088485,"I2X",7,2022-11-17,100,"Media/argilosa",-10.1880277777778,-48.6818333333333,2023-02-25,"Precoce","Super Precoce",48,-1,"LaNina","ModerateLaNina",420.352136363636,411.0554,408.9544375,17.3014545454545,18.5654,20.7606875,7.93534032377892,8.50631258696029,9.54971224580763,0.647996753246753,0.639723809523809,0.67615625,10.9600909090909,10.899,11.19146875,1.51734149440289,-1.14631258696029,-3.54302474580763,82.5605454545455,82.561,80.8019375,39.4110819844982,39.553520291515,39.3889144221752,0.195827293975662,0.194041529930625,0.201848027436751,29.2566818181818,29.0314,29.967875,25.3182727272727,25.3046,25.981,21.9191818181818,21.797,22.3906875,7.3385,7.2354,7.5781875,21.9019090909091,21.9538,22.236,0.729156059246686,0.682431242416337,0.795798663300511,1.45986363636364,1.171,1.2481875,18495.451,10276.361,13086.511,415.831,183.951,192.151
"Paraiso do Tocantins","10°11' 16.9'' S","48°40' 54.6'' W",2023,"Latossolo","AS3800",1,4552.80475771395,"I2X",8,2022-11-17,110,"Media/argilosa",-10.1880277777778,-48.6818333333333,2023-03-07,"Medio","Precoce",55,-1,"LaNina","ModerateLaNina",420.352136363636,411.0554,409.424095238095,17.3014545454545,18.5654,20.0929047619048,7.93534032377892,8.50631258696029,9.2426361685228,0.647996753246753,0.639723809523809,0.676368480725624,10.9600909090909,10.899,11.2265952380952,1.51734149440289,-1.14631258696029,-3.35730283518946,82.5605454545455,82.561,81.3669523809524,39.4110819844982,39.553520291515,39.217867402466,0.195827293975662,0.194041529930625,0.201861882886324,29.2566818181818,29.0314,29.908619047619,25.3182727272727,25.3046,25.986,21.9191818181818,21.797,22.4588571428571,7.3385,7.2354,7.45076190476191,21.9019090909091,21.9538,22.3662380952381,0.729156059246686,0.682431242416337,0.771715997983916,1.45986363636364,1.171,1.23861904761905,18495.451,10276.361,17195.771,415.831,183.951,247.101
"Paraiso do Tocantins","10°11' 16.9'' S","48°40' 54.6'' W",2023,"Latossolo","AS3800",2,4250.24669269139,"I2X",8,2022-11-17,110,"Media/argilosa",-10.1880277777778,-48.6818333333333,2023-03-07,"Medio","Precoce",55,-1,"LaNina","ModerateLaNina",420.352136363636,411.0554,409.424095238095,17.3014545454545,18.5654,20.0929047619048,7.93534032377892,8.50631258696029,9.2426361685228,0.647996753246753,0.639723809523809,0.676368480725624,10.9600909090909,10.899,11.2265952380952,1.51734149440289,-1.14631258696029,-3.35730283518946,82.5605454545455,82.561,81.3669523809524,39.4110819844982,39.553520291515,39.217867402466,0.195827293975662,0.194041529930625,0.201861882886324,29.2566818181818,29.0314,29.908619047619,25.3182727272727,25.3046,25.986,21.9191818181818,21.797,22.4588571428571,7.3385,7.2354,7.45076190476191,21.9019090909091,21.9538,22.3662380952381,0.729156059246686,0.682431242416337,0.771715997983916,1.45986363636364,1.171,1.23861904761905,18495.451,10276.361,17195.771,415.831,183.951,247.101
